mode,episode,episode_reward,max_height,unique_platforms,steps_survived,moving_avg_reward,moving_avg_max_height,epsilon,loss,terminal_reason
train,2537,2798.02,0.0,35,3600,3937.0825,0.0,0.150161,0.94285,timeout
train,2538,4340.83,0.0,45,3600,3925.4541,0.0,0.149713,0.924644,timeout
train,2539,4159.0,0.0,44,3600,3905.0103,0.0,0.149266,0.957412,timeout
train,2540,4541.14,0.0,46,3600,3876.92,0.0,0.148818,0.909343,timeout
train,2541,4729.63,0.0,47,3600,3867.9894,0.0,0.14837,0.958938,timeout
train,2542,3978.8,0.0,43,3600,3915.3444,0.0,0.147922,0.946532,timeout
train,2543,5940.11,0.0,50,3020,3935.6502,0.0,0.147547,0.945329,win
train,2544,3624.12,0.0,41,3600,3904.6386,0.0,0.147099,0.966291,timeout
train,2545,3798.35,0.0,42,3600,3877.083,0.0,0.146651,0.98097,timeout
train,2546,4309.01,0.0,44,3600,3859.5662,0.0,0.146203,0.976343,timeout
train,2547,5946.875,0.0,50,2713,3859.6383,0.0,0.145866,0.956912,win
train,2548,5165.07,0.0,49,3600,3868.3329,0.0,0.145418,1.038888,timeout
train,2549,3787.41,0.0,42,3600,3845.5175,0.0,0.144971,1.046913,timeout
train,2550,4515.2,0.0,46,3600,3832.3227,0.0,0.144523,1.06304,timeout
eval,2550,480.6,0.0,9.6,3600.0,,,0.144523,,evaluation
train,2551,2229.21,0.0,32,3600,3773.3427,0.0,0.144075,1.066704,timeout
train,2552,53.6,0.0,6,3600,3711.8451,0.0,0.143627,1.045286,timeout
train,2553,-61.12,0.0,0,3600,3685.0763,0.0,0.14318,1.033859,timeout
train,2554,-54.03,0.0,1,3600,3604.4505,0.0,0.142732,1.031722,timeout
train,2555,-2.83,0.0,4,3600,3556.9015,0.0,0.142284,1.056858,timeout
train,2556,46.46,0.0,6,3600,3544.6397,0.0,0.141836,1.004644,timeout
train,2557,13.76,0.0,5,3600,3446.3935,0.0,0.141389,1.029853,timeout
train,2558,84.57,0.0,7,3600,3440.4091,0.0,0.140941,1.015368,timeout
train,2559,811.97,0.0,19,3600,3377.1927,0.0,0.140493,1.021536,timeout
train,2560,168.78,0.0,9,3600,3276.9125,0.0,0.140045,1.010633,timeout
train,2561,318.75,0.0,12,3600,3179.5273,0.0,0.139598,1.008831,timeout
train,2562,1175.15,0.0,23,3600,3204.4875,0.0,0.13915,0.99378,timeout
train,2563,-18.09,0.0,3,3600,3100.4093,0.0,0.138702,1.046559,timeout
train,2564,2519.94,0.0,34,3600,3084.9099,0.0,0.138254,1.005431,timeout
train,2565,-34.83,0.0,2,3600,2985.5941,0.0,0.137807,0.994522,timeout
train,2566,0.41,0.0,4,3600,2882.0959,0.0,0.137359,0.987231,timeout
train,2567,-69.82,0.0,0,3600,2777.1111,0.0,0.136911,1.022779,timeout
train,2568,5.79,0.0,4,3600,2673.6269,0.0,0.136463,0.949599,timeout
train,2569,-20.04,0.0,3,3600,2673.2797,0.0,0.136016,0.943787,timeout
train,2570,132.8,0.0,8,3600,2633.9743,0.0,0.135568,0.918088,timeout
train,2571,-17.02,0.0,3,3600,2583.1297,0.0,0.13512,0.886248,timeout
train,2572,-54.62,0.0,0,3600,2463.2963,0.0,0.134672,0.900727,timeout
train,2573,328.27,0.0,12,3600,2470.6195,0.0,0.134225,0.860383,timeout
train,2574,334.25,0.0,12,3600,2440.1621,0.0,0.133777,0.870062,timeout
train,2575,-26.98,0.0,2,3600,2336.1735,0.0,0.133329,0.827959,timeout
eval,2575,37.732,0.0,3.8,3600.0,,,0.133329,,evaluation
train,2576,59.28,0.0,6,3600,2233.7099,0.0,0.132881,0.805627,timeout
train,2577,57.95,0.0,6,3600,2136.5629,0.0,0.132434,0.814081,timeout
train,2578,-60.0,0.0,0,3600,2031.9539,0.0,0.131986,0.820789,timeout
train,2579,-57.21,0.0,0,3600,1927.5255,0.0,0.131538,0.792332,timeout
train,2580,134.03,0.0,8,3600,1860.9759,0.0,0.13109,0.759697,timeout
train,2581,-58.47,0.0,0,3600,1836.4693,0.0,0.130643,0.728072,timeout
train,2582,94.87,0.0,7,3600,1751.4025,0.0,0.130195,0.726261,timeout
train,2583,-30.16,0.0,2,3600,1647.3609,0.0,0.129747,0.688273,timeout
train,2584,452.18,0.0,14,3600,1552.9603,0.0,0.129299,0.69699,timeout
train,2585,3457.56,0.0,40,3600,1518.5471,0.0,0.128852,0.69631,timeout
train,2586,265.93,0.0,11,3600,1476.2771,0.0,0.128404,0.663868,timeout
train,2587,995.15,0.0,21,3600,1440.2197,0.0,0.127956,0.647874,timeout
train,2588,1296.2,0.0,24,3600,1379.3271,0.0,0.127508,0.662256,timeout
train,2589,820.17,0.0,19,3600,1312.5505,0.0,0.127061,0.670327,timeout
train,2590,96.68,0.0,7,3600,1223.6613,0.0,0.126613,0.645986,timeout
train,2591,107.08,0.0,7,3600,1131.2103,0.0,0.126165,0.648885,timeout
train,2592,-10.34,0.0,3,3600,1051.4275,0.0,0.125717,0.63834,timeout
train,2593,-28.24,0.0,2,3600,932.0605,0.0,0.12527,0.628176,timeout
train,2594,587.1,0.0,16,3600,871.3201,0.0,0.124822,0.589966,timeout
train,2595,1083.96,0.0,22,3600,817.0323,0.0,0.124374,0.600244,timeout
train,2596,229.64,0.0,10,3600,735.4449,0.0,0.123926,0.596665,timeout
train,2597,-11.06,0.0,3,3600,616.2862,0.0,0.123479,0.60276,timeout
train,2598,100.36,0.0,7,3600,514.992,0.0,0.123031,0.571638,timeout
train,2599,1087.52,0.0,22,3600,460.9942,0.0,0.122583,0.559842,timeout
train,2600,-5.32,0.0,3,3600,370.5838,0.0,0.122135,0.555163,timeout
eval,2600,-10.588,0.0,0.6,3600.0,,,0.122135,,evaluation
train,2601,2525.7,0.0,34,3600,376.5136,0.0,0.121688,0.549104,timeout
train,2602,729.54,0.0,18,3600,390.0324,0.0,0.12124,0.541746,timeout
train,2603,519.3,0.0,15,3600,401.6408,0.0,0.120792,0.496826,timeout
train,2604,71.2,0.0,6,3600,404.1454,0.0,0.120344,0.519035,timeout
train,2605,41.99,0.0,5,3600,405.0418,0.0,0.119897,0.511295,timeout
train,2606,67.26,0.0,6,3600,405.4578,0.0,0.119449,0.504786,timeout
train,2607,284.86,0.0,11,3600,410.8798,0.0,0.119001,0.472109,timeout
train,2608,2982.94,0.0,37,3600,468.8472,0.0,0.118553,0.488387,timeout
train,2609,3139.46,0.0,38,3600,515.397,0.0,0.118106,0.491227,timeout
train,2610,2120.02,0.0,31,3600,554.4218,0.0,0.117658,0.459171,timeout
train,2611,2677.81,0.0,35,3600,601.603,0.0,0.11721,0.482264,timeout
train,2612,4943.63,0.0,48,3600,676.9726,0.0,0.116762,0.463209,timeout
train,2613,734.05,0.0,18,3600,692.0154,0.0,0.116315,0.448647,timeout
train,2614,70.22,0.0,6,3600,643.021,0.0,0.115867,0.459038,timeout
train,2615,3811.3,0.0,42,3600,719.9436,0.0,0.115419,0.443261,timeout
train,2616,4941.27,0.0,48,3600,818.7608,0.0,0.114971,0.439267,timeout
train,2617,3298.23,0.0,39,3600,886.1218,0.0,0.114524,0.443969,timeout
train,2618,913.18,0.0,20,3600,904.2696,0.0,0.114076,0.438422,timeout
train,2619,-57.87,0.0,0,3600,903.513,0.0,0.113628,0.420828,timeout
train,2620,997.82,0.0,21,3600,920.8134,0.0,0.11318,0.401675,timeout
train,2621,70.97,0.0,6,3600,922.5732,0.0,0.112733,0.394236,timeout
train,2622,0.74,0.0,3,3600,923.6804,0.0,0.112285,0.384588,timeout
train,2623,5950.655,0.0,50,3441,1036.1281,0.0,0.111857,0.360423,win
train,2624,1619.32,0.0,27,3600,1061.8295,0.0,0.111409,0.387286,timeout
train,2625,1740.52,0.0,28,3600,1097.1795,0.0,0.110961,0.366709,timeout
eval,2625,-53.742,0.0,0.0,3600.0,,,0.110961,,evaluation
train,2626,4359.52,0.0,45,3600,1183.1843,0.0,0.110514,0.357886,timeout
train,2627,2392.66,0.0,33,3600,1229.8785,0.0,0.110066,0.352678,timeout
train,2628,5951.2,0.0,50,3572,1350.1025,0.0,0.109622,0.337375,win
train,2629,46.11,0.0,5,3600,1352.1689,0.0,0.109174,0.339583,timeout
train,2630,-22.29,0.0,2,3600,1349.0425,0.0,0.108726,0.328474,timeout
train,2631,5953.17,0.0,50,3182,1469.2753,0.0,0.10833,0.310445,win
train,2632,74.49,0.0,6,3600,1468.8677,0.0,0.107883,0.319999,timeout
train,2633,-42.88,0.0,0,3600,1468.6133,0.0,0.107435,0.311053,timeout
train,2634,112.06,0.0,7,3600,1461.8109,0.0,0.106987,0.293682,timeout
train,2635,590.7,0.0,16,3600,1404.4737,0.0,0.106539,0.281313,timeout
train,2636,2981.54,0.0,37,3600,1458.7859,0.0,0.106092,0.281508,timeout
train,2637,5189.6,0.0,49,3600,1542.6749,0.0,0.105644,0.31615,timeout
train,2638,-57.42,0.0,0,3600,1515.6025,0.0,0.105196,0.313736,timeout
train,2639,-59.71,0.0,0,3600,1498.0049,0.0,0.104748,0.335151,timeout
train,2640,4177.83,0.0,44,3600,1579.6279,0.0,0.104301,0.322219,timeout
train,2641,523.61,0.0,15,3600,1587.9585,0.0,0.103853,0.329501,timeout
train,2642,4363.68,0.0,45,3600,1675.4389,0.0,0.103405,0.332155,timeout
train,2643,746.83,0.0,18,3600,1690.9403,0.0,0.102957,0.356922,timeout
train,2644,1196.33,0.0,23,3600,1703.1249,0.0,0.10251,0.34534,timeout
train,2645,908.59,0.0,20,3600,1699.6175,0.0,0.102062,0.34588,timeout
train,2646,41.6,0.0,5,3600,1695.8567,0.0,0.101614,0.348587,timeout
train,2647,2987.84,0.0,37,3600,1755.8347,0.0,0.101166,0.351033,timeout
train,2648,4169.43,0.0,44,3600,1837.2161,0.0,0.100719,0.369194,timeout
train,2649,335.04,0.0,12,3600,1822.1665,0.0,0.100271,0.377409,timeout
train,2650,1192.26,0.0,23,3600,1846.1181,0.0,0.099823,0.385876,timeout
eval,2650,3.9,0.0,1.6,3600.0,,,0.099823,,evaluation
train,2651,591.14,0.0,16,3600,1807.4269,0.0,0.099375,0.38817,timeout
train,2652,229.79,0.0,10,3600,1797.4319,0.0,0.098928,0.388664,timeout
train,2653,5953.085,0.0,50,3583,1906.1076,0.0,0.098482,0.396391,win
train,2654,1298.83,0.0,24,3600,1930.6602,0.0,0.098034,0.429733,timeout
train,2655,2818.91,0.0,36,3600,1986.1986,0.0,0.097586,0.427836,timeout
train,2656,393.64,0.0,13,3600,1992.7262,0.0,0.097139,0.456969,timeout
train,2657,898.63,0.0,20,3600,2005.0016,0.0,0.096691,0.442196,timeout
train,2658,13.02,0.0,4,3600,1945.6032,0.0,0.096243,0.456457,timeout
train,2659,1388.7,0.0,25,3600,1910.588,0.0,0.095795,0.465428,timeout
train,2660,-54.14,0.0,1,3600,1867.1048,0.0,0.095348,0.472378,timeout
train,2661,15.47,0.0,4,3600,1813.858,0.0,0.0949,0.478282,timeout
train,2662,287.84,0.0,11,3600,1720.7422,0.0,0.094452,0.480395,timeout
train,2663,23.0,0.0,5,3600,1706.5212,0.0,0.094004,0.499645,timeout
train,2664,0.54,0.0,5,3600,1705.1276,0.0,0.093557,0.491576,timeout
train,2665,-4.77,0.0,4,3600,1628.8062,0.0,0.093109,0.510903,timeout
train,2666,1275.25,0.0,24,3600,1555.4858,0.0,0.092661,0.528568,timeout
train,2667,-80.44,0.0,0,3600,1487.9124,0.0,0.092213,0.524556,timeout
train,2668,246.03,0.0,11,3600,1474.5694,0.0,0.091766,0.531401,timeout
train,2669,-46.32,0.0,0,3600,1474.8004,0.0,0.091318,0.514039,timeout
train,2670,311.1,0.0,12,3600,1461.066,0.0,0.09087,0.501537,timeout
train,2671,23.45,0.0,4,3600,1460.1156,0.0,0.090422,0.493,timeout
train,2672,265.2,0.0,11,3600,1465.4048,0.0,0.089975,0.500935,timeout
